%year	month	day	sea-air CO2 flux (mmol m^-2 d^-1)
2015	11	21	0.30
2015	11	22	0.23
2015	11	23	1.62
2015	11	24	8.68
2015	11	25	0.74
2015	11	26	0.28
2015	11	27	0.33
2015	11	28	0.67
2015	11	29	1.21
2015	11	30	3.22
2015	12	2	3.94
2015	12	3	2.93
2015	12	4	0.54
2015	12	5	18.84
2015	12	6	6.85
2015	12	7	3.78
2015	12	8	1.71
2015	12	9	1.46
2015	12	10	9.37
2015	12	11	1.79
2015	12	12	14.10
2015	12	13	2.82
2015	12	14	5.92
2015	12	15	0.37
2015	12	16	0.51
2015	12	17	1.35
2015	12	18	0.10
2015	12	19	1.35
2015	12	20	1.62
2015	12	21	2.43
2015	12	22	1.15
2015	12	23	12.23
2015	12	24	0.10
2016	1	5	0.79
2016	1	6	0.33
2016	1	7	0.28
2016	1	8	0.47
2016	1	9	0.24
2016	1	10	0.13
2016	1	11	0.32
2016	1	12	0.93
2016	1	13	0.43
2016	1	14	0.12
2016	1	15	0.52
2016	1	16	4.88
2016	1	17	0.75
2016	1	18	1.84
2016	1	19	0.40
2016	1	20	1.85
2016	1	21	1.69
2016	2	18	0.60
2016	2	19	1.02
2016	2	20	0.43
2016	2	22	0.10
2016	2	23	0.38
2016	2	24	0.18
2016	2	25	0.13
2016	2	26	0.02
2016	2	27	0.18
2016	2	28	1.99
2016	3	4	0.79
2016	3	5	1.27
2016	3	6	0.03
2016	3	7	1.82
2016	3	8	2.22
2016	3	9	2.48
2016	3	10	1.80
2016	3	16	4.22
2016	3	17	0.41
2016	3	18	0.09
2016	3	19	0.05
2016	3	20	0.12
2016	3	21	0.26
2016	3	22	0.23
2016	3	23	1.48
2016	3	24	0.45
2016	3	25	0.38
2016	3	26	0.16
2016	3	27	2.99
2016	3	28	1.24
2016	3	29	0.24
2016	4	4	-3.74
2016	4	5	-1.97
2016	4	6	-0.47
2016	4	7	-0.29
2016	4	8	-6.56
2016	4	9	-3.38
2016	4	10	-0.33
2016	4	12	-5.30
2016	4	13	-3.35
2016	4	14	-1.37
2016	4	15	-1.10
2016	4	16	-2.97
2016	4	17	-0.45
2016	4	18	-0.15
2016	4	19	-0.41
2016	4	20	-0.45
2016	4	21	-0.74
2016	4	22	-0.59
2016	4	28	-0.11
2016	4	29	-1.07
2016	4	30	0.03
2016	5	1	0.32
2016	5	2	0.03
2016	5	4	-13.83
2016	5	5	-2.55
2016	5	6	-1.40
2016	5	7	-3.04
2016	5	8	-21.42
2016	5	9	0.57
2016	5	10	-0.53
2016	5	13	-0.81
2016	5	14	-1.12
2016	5	15	-3.12
2016	5	16	-3.47
2016	5	17	-2.93
2016	5	18	-4.32
2016	5	19	-9.37
2016	5	20	-3.80
2016	5	21	-4.22
2016	5	22	-4.05
2016	5	23	-5.24
2016	5	24	-3.26
2016	5	25	-4.97
2016	5	26	-10.07
2016	5	27	-3.71
2016	5	28	-0.75
2016	5	29	-3.12
2016	5	30	-2.15
2016	5	31	-0.50
2016	6	1	-0.79
2016	6	2	-2.47
2016	6	3	-1.18
2016	6	8	-0.90
2016	6	9	-2.52
2016	6	10	-0.69
2016	6	11	-0.86
2016	6	12	-0.26
2016	6	13	-1.26
2016	6	14	-0.49
2016	6	15	-0.50
2016	6	16	-6.43
2016	6	17	-1.27
2016	6	18	-0.56
2016	6	19	-0.12
2016	6	20	-0.68
2016	6	21	-0.96
2016	6	22	-0.82
2016	6	23	-0.67
2016	6	24	-0.41
2016	6	25	-0.55
2016	6	26	-0.62
2016	6	27	-0.27
2016	6	28	-0.36
2016	7	15	-11.31
2016	7	16	-3.72
2016	7	17	-1.38
2016	7	18	-1.40
2016	7	19	-1.53
2016	7	20	-0.26
2016	7	21	-1.14
2016	7	22	-1.40
2016	7	23	-1.75
2016	7	24	-0.50
2016	7	25	-0.38
2016	7	26	-1.72
2016	7	27	-0.98
2016	7	28	-1.11
2016	7	29	-2.65
2016	7	30	7.07
2016	7	31	16.72
2016	8	1	0.34
2016	8	2	-0.36
2016	8	3	-0.41
2016	8	4	-1.23
2016	8	5	-2.13
2016	8	6	-0.24
2016	8	7	-0.22
2016	8	8	-0.13
2016	8	9	-0.41
2016	8	10	-0.11
2016	8	11	-7.45
2016	8	12	-1.71
2016	8	13	-1.89
2016	8	14	-3.30
2016	8	15	-2.64
2016	8	16	-5.24
2016	8	17	-5.28
2016	8	18	-1.21
2016	8	19	-1.03
2016	8	20	-4.49
2016	8	21	-8.99
2016	8	22	-5.30
2016	8	23	-2.71
2016	8	24	-0.76
2016	8	25	-1.70
2016	8	26	-1.58
2016	8	27	-17.86
2016	8	28	-1.41
2016	8	29	-0.16
2016	8	30	-0.10
2016	8	31	-0.30
2016	9	1	-0.23
2016	9	2	-0.10
2016	9	3	-0.18
2016	9	4	-0.23
2016	9	5	-0.03
2016	9	6	-0.24
2016	9	7	-0.01
2016	9	8	-0.50
2016	9	9	0.05
2016	9	10	0.00
2016	9	23	-0.46
2016	9	24	-0.12
2016	9	25	-0.37
2016	9	26	-0.01
2016	9	27	-0.02
2016	9	28	0.01
2016	9	29	-0.05
2016	9	30	-0.04
2016	10	1	-0.02
2016	10	2	0.00
2016	10	3	0.02
2016	10	4	0.44
2016	10	5	0.75
2016	10	6	1.08
2016	10	7	4.98
2016	10	8	0.24
2016	10	9	0.59
2016	10	10	0.74
2016	10	11	0.20
2016	10	12	0.26
2016	10	13	0.54
2016	10	14	1.85
2016	10	15	0.98
2016	10	16	1.21
2016	10	17	0.29
2016	10	18	0.53
2016	10	19	1.16
2016	10	20	2.63
2016	10	28	0.42
2016	10	29	0.56
2016	10	30	1.00
2016	10	31	0.33
2016	11	1	3.05
2016	11	2	4.16
2016	11	3	3.43
2016	11	4	3.35
2016	11	5	1.81
2016	11	6	0.91
2016	11	7	3.39
2016	11	8	2.79
2016	11	9	0.60
2016	11	10	0.64
2016	11	11	0.31
2016	11	12	0.39
2016	11	13	3.84
2016	11	14	0.70
2016	11	15	0.52
2016	11	16	0.29
2016	11	17	0.27
2016	11	18	0.65
2016	11	19	1.85
2016	11	20	3.79
2016	11	21	0.76
2016	11	22	10.41
2016	11	23	1.54
2016	11	24	4.79
2016	11	25	2.36
2016	11	26	0.21
2016	11	27	4.93
2016	11	28	0.87
2016	11	29	2.41
2016	11	30	5.92
2016	12	1	1.10
2016	12	2	3.03
2016	12	3	0.41
2016	12	4	2.43
2016	12	5	0.41
2016	12	6	1.38
2016	12	7	0.78
2016	12	8	0.62
2016	12	9	2.29
2016	12	10	0.35
2016	12	11	0.28
2016	12	12	0.62
2016	12	13	0.95
2016	12	14	0.37
2016	12	15	0.58
2016	12	16	1.75
2016	12	17	0.71
2016	12	18	8.66
2016	12	19	3.83
2016	12	20	7.00
2016	12	21	2.14
2016	12	22	5.25
2016	12	23	0.70
2016	12	24	1.11
2016	12	25	1.03
2016	12	26	15.94
2016	12	27	1.42
2016	12	28	1.76
2016	12	29	11.24
2016	12	30	4.12
2016	12	31	0.63
2017	1	1	6.77
2017	1	2	2.97
2017	1	3	1.36
2017	1	4	0.60
2017	1	5	0.37
2017	1	6	9.01
2017	1	7	4.00
2017	1	8	1.16
2017	1	9	0.27
2017	1	10	8.19
2017	1	11	5.12
2017	1	12	1.19
2017	1	13	0.51
2017	1	14	0.37
2017	1	15	0.40
2017	1	16	0.65
2017	1	17	4.49
2017	1	18	3.95
2017	1	19	1.90
2017	1	20	3.53
2017	1	21	0.49
2017	1	22	0.47
2017	1	23	0.38
2017	1	24	0.24
2017	1	25	0.10
2017	1	26	0.13
2017	1	27	1.57
2017	1	28	2.00
2017	1	29	2.76
2017	1	30	1.38
2017	1	31	1.56
2017	2	1	1.67
2017	2	2	0.73
2017	2	3	0.53
2017	2	4	2.39
2017	2	5	2.09
2017	2	6	3.16
2017	2	7	2.11
2017	2	8	0.96
2017	2	9	0.12
2017	2	10	1.40
2017	2	11	0.49
2017	2	12	2.14
2017	2	13	0.28
2017	2	14	1.22
2017	2	15	2.37
2017	2	16	2.91
2017	2	17	0.32
2017	2	18	0.30
2017	2	19	0.41
2017	2	20	0.20
2017	2	21	0.17
2017	2	22	0.28
2017	2	23	0.52
2017	2	24	0.31
2017	2	25	0.40
2017	2	26	1.31
2017	2	27	0.36
2017	2	28	1.11
2017	3	1	1.32
2017	3	2	0.37
2017	3	3	1.07
2017	3	4	0.65
2017	3	5	0.45
2017	3	6	1.45
2017	3	7	0.58
2017	3	8	1.38
2017	3	9	0.86
2017	3	10	0.20
2017	3	11	1.59
2017	3	12	0.86
2017	3	13	1.44
2017	3	14	0.74
2017	3	15	0.26
2017	3	16	0.38
2017	3	17	1.29
2017	3	18	1.00
2017	3	19	0.54
2017	3	20	0.21
2017	3	21	0.03
2017	3	22	0.18
2017	3	23	0.44
2017	3	24	1.19
2017	3	25	0.19
