agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	12052390	47	2001-10-04 09:57:00	PDT	Yes	JEJ	USGS	3.28	19.1	Fair	0.00	0.50	Clear	MEAS
USGS	12052390	48	2001-12-11 14:07:00	PST	Yes	JEJ	USGS	4.36	138	Good	0.00	0.50	Clear	MEAS
USGS	12052390	49	2002-02-01 10:46:00	PST	Yes	JEJ	USGS	4.26	96.8	Good	0.00	0.50	Clear	MEAS
USGS	12052390	50	2002-04-24 12:32:00	PDT	Yes	JEJ	USGS	4.32	107	Good	0.00	0.70	Clear	MEAS
USGS	12052390	51	2002-06-17 13:02:00	PDT	Yes	JEJ	USGS	4.52	140	Fair	0.00	0.60	Clear	MEAS
USGS	12052390	52	2002-08-14 11:22:00	PDT	Yes	JEJ	USGS	3.69	25.5	Fair	0.00	0.60	Clear	MEAS
USGS	12052390	53	2002-10-02 11:58:00	PDT	Yes	JEJ	USGS	3.50	18.1	Fair	0.00	0.50	Clear	MEAS
USGS	12052390	54	2002-12-05 09:33:00	PST	Yes	JEJ	USGS	3.50	17.8	Fair	0.00	0.60	Clear	MEAS
USGS	12052390	55	2003-02-20 11:43:00	PST	Yes	JEJ	USGS	4.08	65.4	Fair	0.00	0.60	Clear	MEAS
USGS	12052390	56	2003-05-08 12:43:00	PDT	Yes	JEJ	USGS	4.30	71.0	Good	0.00	0.50	Clear	MEAS
USGS	12052390	57	2003-07-18 12:06:00	PDT	Yes	JEJ	USGS	4.10	46.8	Good	0.00	0.80	Clear	MEAS
USGS	12052390	58	2003-09-17 11:18:00	PDT	Yes	JEJ	USGS	3.74	20.6	Poor	0.00	0.50	Clear	MEAS
USGS	12052390	59	2003-11-14 12:00:00	PST	Yes	JEJ	USGS	3.86	32.0	Fair	0.00	0.50	Clear	MEAS
USGS	12052390	60	2004-02-10 13:46:00	PST	Yes	JEJ	USGS	4.42	105	Fair	0.00	0.50	Clear	MEAS
USGS	12052390	61	2004-05-14 13:06:00	PDT	Yes	JEJ	USGS	4.42	92.3	Fair	0.00	0.50	Clear	MEAS
USGS	12052390	62	2004-07-28 12:58:00	PDT	Yes	JEJ/RS	USGS	3.92	32.9	Fair	0.00	0.80	Clear	MEAS
USGS	12052390	63	2004-10-06 09:58:00	PDT	Yes	JEJ	USGS	3.81	21.4	Fair	-0.01	0.60	Clear	MEAS
USGS	12052390	64	2005-02-10 13:53:00	PST	Yes	RES/JEJ	USGS	4.26	64.8	Good	0.00	0.60	Clear	MEAS
USGS	12052390	65	2005-04-26 14:18:00	PDT	Yes	RES	USGS	4.65	140	Good	-0.01	0.90	Clear	MEAS
USGS	12052390	66	2005-06-24 13:51:00	PDT	Yes	RES	USGS	4.47	103	Fair	-0.02	0.80	Clear	MEAS
