agency_cd	site_no	datetime	148595_00060_00003	148595_00060_00003_cd
5s	15s	20d	14n	10s
USGS	12061500	1943-12-12	742	A
USGS	12061500	1943-12-13	672	A
USGS	12061500	1943-12-14	609	A
USGS	12061500	1943-12-15	562	A
USGS	12061500	1943-12-16	509	A
USGS	12061500	1943-12-17	472	A
USGS	12061500	1943-12-18	454	A
USGS	12061500	1943-12-19	431	A
USGS	12061500	1943-12-20	420	A
USGS	12061500	1943-12-21	408	A
USGS	12061500	1943-12-22	392	A
USGS	12061500	1943-12-23	376	A
USGS	12061500	1943-12-24	1400	A
USGS	12061500	1943-12-25	1870	A
USGS	12061500	1943-12-26	1210	A
USGS	12061500	1943-12-27	976	A
USGS	12061500	1943-12-28	820	A
USGS	12061500	1943-12-29	728	A
USGS	12061500	1943-12-30	672	A
USGS	12061500	1943-12-31	658	A
USGS	12061500	1944-01-01	1140	A
USGS	12061500	1944-01-02	1720	A
USGS	12061500	1944-01-03	1260	A
USGS	12061500	1944-01-04	1060	A
USGS	12061500	1944-01-05	928	A
USGS	12061500	1944-01-06	805	A
USGS	12061500	1944-01-07	735	A
USGS	12061500	1944-01-08	700	A
USGS	12061500	1944-01-09	658	A
USGS	12061500	1944-01-10	623	A
USGS	12061500	1944-01-11	637	A
USGS	12061500	1944-01-12	798	A
USGS	12061500	1944-01-13	1040	A
USGS	12061500	1944-01-14	2320	A
USGS	12061500	1944-01-15	3310	A
USGS	12061500	1944-01-16	4610	A
USGS	12061500	1944-01-17	4330	A
USGS	12061500	1944-01-18	5480	A
USGS	12061500	1944-01-19	3190	A
USGS	12061500	1944-01-20	2220	A
USGS	12061500	1944-01-21	1770	A
USGS	12061500	1944-01-22	1480	A
USGS	12061500	1944-01-23	1820	A
USGS	12061500	1944-01-24	1670	A
USGS	12061500	1944-01-25	1440	A
USGS	12061500	1944-01-26	1210	A
USGS	12061500	1944-01-27	1070	A
USGS	12061500	1944-01-28	968	A
USGS	12061500	1944-01-29	880	A
USGS	12061500	1944-01-30	820	A
USGS	12061500	1944-01-31	770	A
USGS	12061500	1944-02-01	805	A
USGS	12061500	1944-02-02	805	A
USGS	12061500	1944-02-03	1140	A
USGS	12061500	1944-02-04	1340	A
USGS	12061500	1944-02-05	1620	A
USGS	12061500	1944-02-06	3430	A
USGS	12061500	1944-02-07	2560	A
USGS	12061500	1944-02-08	1870	A
USGS	12061500	1944-02-09	1480	A
USGS	12061500	1944-02-10	1260	A
USGS	12061500	1944-02-11	1120	A
USGS	12061500	1944-02-12	992	A
USGS	12061500	1944-02-13	952	A
USGS	12061500	1944-02-14	896	A
USGS	12061500	1944-02-15	820	A
USGS	12061500	1944-02-16	791	A
USGS	12061500	1944-02-17	749	A
USGS	12061500	1944-02-18	714	A
USGS	12061500	1944-02-19	672	A
USGS	12061500	1944-02-20	644	A
USGS	12061500	1944-02-21	609	A
USGS	12061500	1944-02-22	575	A
USGS	12061500	1944-02-23	548	A
USGS	12061500	1944-02-24	528	A
USGS	12061500	1944-02-25	516	A
USGS	12061500	1944-02-26	509	A
USGS	12061500	1944-02-27	478	A
USGS	12061500	1944-02-28	466	A
USGS	12061500	1944-02-29	454	A
USGS	12061500	1944-03-01	454	A
USGS	12061500	1944-03-02	443	A
USGS	12061500	1944-03-03	497	A
USGS	12061500	1944-03-04	522	A
USGS	12061500	1944-03-05	503	A
USGS	12061500	1944-03-06	478	A
USGS	12061500	1944-03-07	478	A
USGS	12061500	1944-03-08	588	A
USGS	12061500	1944-03-09	2180	A
USGS	12061500	1944-03-10	1520	A
USGS	12061500	1944-03-11	1120	A
USGS	12061500	1944-03-12	928	A
USGS	12061500	1944-03-13	812	A
USGS	12061500	1944-03-14	721	A
USGS	12061500	1944-03-15	658	A
USGS	12061500	1944-03-16	616	A
USGS	12061500	1944-03-17	588	A
USGS	12061500	1944-03-18	568	A
USGS	12061500	1944-03-19	541	A
USGS	12061500	1944-03-20	522	A
USGS	12061500	1944-03-21	497	A
USGS	12061500	1944-03-22	662	A
USGS	12061500	1944-03-23	1870	A
USGS	12061500	1944-03-24	1300	A
USGS	12061500	1944-03-25	1040	A
USGS	12061500	1944-03-26	896	A
USGS	12061500	1944-03-27	798	A
USGS	12061500	1944-03-28	735	A
USGS	12061500	1944-03-29	679	A
USGS	12061500	1944-03-30	637	A
USGS	12061500	1944-03-31	609	A
USGS	12061500	1944-04-01	588	A
USGS	12061500	1944-04-02	562	A
USGS	12061500	1944-04-03	562	A
USGS	12061500	1944-04-04	568	A
USGS	12061500	1944-04-05	602	A
USGS	12061500	1944-04-06	588	A
USGS	12061500	1944-04-07	658	A
USGS	12061500	1944-04-08	749	A
USGS	12061500	1944-04-09	742	A
USGS	12061500	1944-04-10	728	A
USGS	12061500	1944-04-11	714	A
USGS	12061500	1944-04-12	700	A
USGS	12061500	1944-04-13	721	A
USGS	12061500	1944-04-14	756	A
USGS	12061500	1944-04-15	928	A
USGS	12061500	1944-04-16	1050	A
USGS	12061500	1944-04-17	944	A
USGS	12061500	1944-04-18	865	A
USGS	12061500	1944-04-19	1290	A
USGS	12061500	1944-04-20	1570	A
USGS	12061500	1944-04-21	1300	A
USGS	12061500	1944-04-22	1100	A
USGS	12061500	1944-04-23	1020	A
USGS	12061500	1944-04-24	992	A
USGS	12061500	1944-04-25	904	A
USGS	12061500	1944-04-26	828	A
USGS	12061500	1944-04-27	770	A
USGS	12061500	1944-04-28	749	A
USGS	12061500	1944-04-29	735	A
USGS	12061500	1944-04-30	700	A
USGS	12061500	1944-05-01	658	A
USGS	12061500	1944-05-02	609	A
USGS	12061500	1944-05-03	588	A
USGS	12061500	1944-05-04	575	A
USGS	12061500	1944-05-05	588	A
USGS	12061500	1944-05-06	588	A
USGS	12061500	1944-05-07	575	A
USGS	12061500	1944-05-08	562	A
USGS	12061500	1944-05-09	555	A
USGS	12061500	1944-05-10	535	A
USGS	12061500	1944-05-11	503	A
USGS	12061500	1944-05-12	485	A
USGS	12061500	1944-05-13	472	A
USGS	12061500	1944-05-14	460	A
USGS	12061500	1944-05-15	522	A
USGS	12061500	1944-05-16	665	A
USGS	12061500	1944-05-17	588	A
USGS	12061500	1944-05-18	535	A
USGS	12061500	1944-05-19	522	A
USGS	12061500	1944-05-20	491	A
USGS	12061500	1944-05-21	466	A
USGS	12061500	1944-05-22	449	A
USGS	12061500	1944-05-23	431	A
USGS	12061500	1944-05-24	425	A
USGS	12061500	1944-05-25	414	A
USGS	12061500	1944-05-26	403	A
USGS	12061500	1944-05-27	397	A
USGS	12061500	1944-05-28	408	A
USGS	12061500	1944-05-29	392	A
USGS	12061500	1944-05-30	386	A
USGS	12061500	1944-05-31	381	A
USGS	12061500	1944-06-01	497	A
USGS	12061500	1944-06-02	443	A
USGS	12061500	1944-06-03	397	A
USGS	12061500	1944-06-04	370	A
USGS	12061500	1944-06-05	354	A
USGS	12061500	1944-06-06	349	A
USGS	12061500	1944-06-07	344	A
USGS	12061500	1944-06-08	339	A
USGS	12061500	1944-06-09	330	A
USGS	12061500	1944-06-10	320	A
USGS	12061500	1944-06-11	320	A
USGS	12061500	1944-06-12	315	A
USGS	12061500	1944-06-13	310	A
USGS	12061500	1944-06-14	305	A
USGS	12061500	1944-06-15	296	A
USGS	12061500	1944-06-16	292	A
USGS	12061500	1944-06-17	292	A
USGS	12061500	1944-06-18	288	A
USGS	12061500	1944-06-19	284	A
USGS	12061500	1944-06-20	284	A
USGS	12061500	1944-06-21	275	A
USGS	12061500	1944-06-22	266	A
USGS	12061500	1944-06-23	262	A
USGS	12061500	1944-06-24	254	A
USGS	12061500	1944-06-25	251	A
USGS	12061500	1944-06-26	247	A
USGS	12061500	1944-06-27	243	A
USGS	12061500	1944-06-28	239	A
USGS	12061500	1944-06-29	232	A
USGS	12061500	1944-06-30	228	A
USGS	12061500	1944-07-01	228	A
USGS	12061500	1944-07-02	228	A
USGS	12061500	1944-07-03	228	A
USGS	12061500	1944-07-04	221	A
USGS	12061500	1944-07-05	218	A
USGS	12061500	1944-07-06	214	A
USGS	12061500	1944-07-07	211	A
USGS	12061500	1944-07-08	211	A
USGS	12061500	1944-07-09	205	A
USGS	12061500	1944-07-10	202	A
USGS	12061500	1944-07-11	198	A
USGS	12061500	1944-07-12	198	A
USGS	12061500	1944-07-13	195	A
USGS	12061500	1944-07-14	195	A
USGS	12061500	1944-07-15	195	A
USGS	12061500	1944-07-16	189	A
USGS	12061500	1944-07-17	184	A
USGS	12061500	1944-07-18	181	A
USGS	12061500	1944-07-19	176	A
USGS	12061500	1944-07-20	178	A
USGS	12061500	1944-07-21	176	A
USGS	12061500	1944-07-22	173	A
USGS	12061500	1944-07-23	170	A
USGS	12061500	1944-07-24	168	A
USGS	12061500	1944-07-25	165	A
USGS	12061500	1944-07-26	165	A
USGS	12061500	1944-07-27	165	A
USGS	12061500	1944-07-28	161	A
USGS	12061500	1944-07-29	156	A
USGS	12061500	1944-07-30	154	A
USGS	12061500	1944-07-31	154	A
USGS	12061500	1944-08-01	154	A
USGS	12061500	1944-08-02	154	A
USGS	12061500	1944-08-03	154	A
USGS	12061500	1944-08-04	152	A
USGS	12061500	1944-08-05	152	A
USGS	12061500	1944-08-06	152	A
USGS	12061500	1944-08-07	152	A
USGS	12061500	1944-08-08	161	A
USGS	12061500	1944-08-09	161	A
USGS	12061500	1944-08-10	154	A
USGS	12061500	1944-08-11	152	A
USGS	12061500	1944-08-12	147	A
USGS	12061500	1944-08-13	147	A
USGS	12061500	1944-08-14	150	A
USGS	12061500	1944-08-15	147	A
USGS	12061500	1944-08-16	145	A
USGS	12061500	1944-08-17	143	A
USGS	12061500	1944-08-18	143	A
USGS	12061500	1944-08-19	143	A
USGS	12061500	1944-08-20	141	A
USGS	12061500	1944-08-21	140	A
USGS	12061500	1944-08-22	138	A
USGS	12061500	1944-08-23	136	A
USGS	12061500	1944-08-24	134	A
USGS	12061500	1944-08-25	133	A
USGS	12061500	1944-08-26	133	A
USGS	12061500	1944-08-27	131	A
USGS	12061500	1944-08-28	131	A
USGS	12061500	1944-08-29	131	A
USGS	12061500	1944-08-30	129	A
USGS	12061500	1944-08-31	129	A
USGS	12061500	1944-09-01	129	A
USGS	12061500	1944-09-02	129	A
USGS	12061500	1944-09-03	129	A
USGS	12061500	1944-09-04	131	A
USGS	12061500	1944-09-05	131	A
USGS	12061500	1944-09-06	134	A
USGS	12061500	1944-09-07	134	A
USGS	12061500	1944-09-08	131	A
USGS	12061500	1944-09-09	131	A
USGS	12061500	1944-09-10	131	A
USGS	12061500	1944-09-11	133	A
USGS	12061500	1944-09-12	133	A
USGS	12061500	1944-09-13	133	A
USGS	12061500	1944-09-14	128	A
USGS	12061500	1944-09-15	126	A
USGS	12061500	1944-09-16	126	A
USGS	12061500	1944-09-17	141	A
USGS	12061500	1944-09-18	170	A
USGS	12061500	1944-09-19	184	A
USGS	12061500	1944-09-20	195	A
USGS	12061500	1944-09-21	173	A
USGS	12061500	1944-09-22	161	A
USGS	12061500	1944-09-23	138	A
USGS	12061500	1944-09-24	152	A
USGS	12061500	1944-09-25	165	A
USGS	12061500	1944-09-26	176	A
USGS	12061500	1944-09-27	187	A
USGS	12061500	1944-09-28	195	A
USGS	12061500	1944-09-29	192	A
USGS	12061500	1944-09-30	192	A
USGS	12061500	1944-10-01	349	A
USGS	12061500	1944-10-02	349	A
USGS	12061500	1944-10-03	414	A
USGS	12061500	1944-10-04	535	A
USGS	12061500	1944-10-05	535	A
USGS	12061500	1944-10-06	386	A
USGS	12061500	1944-10-07	301	A
USGS	12061500	1944-10-08	251	A
USGS	12061500	1944-10-09	228	A
USGS	12061500	1944-10-10	208	A
USGS	12061500	1944-10-11	192	A
USGS	12061500	1944-10-12	187	A
USGS	12061500	1944-10-13	178	A
USGS	12061500	1944-10-14	176	A
USGS	12061500	1944-10-15	170	A
USGS	12061500	1944-10-16	165	A
USGS	12061500	1944-10-17	163	A
USGS	12061500	1944-10-18	161	A
USGS	12061500	1944-10-19	156	A
USGS	12061500	1944-10-20	154	A
USGS	12061500	1944-10-21	152	A
USGS	12061500	1944-10-22	156	A
USGS	12061500	1944-10-23	176	A
USGS	12061500	1944-10-24	254	A
USGS	12061500	1944-10-25	224	A
USGS	12061500	1944-10-26	202	A
USGS	12061500	1944-10-27	187	A
USGS	12061500	1944-10-28	178	A
USGS	12061500	1944-10-29	173	A
USGS	12061500	1944-10-30	465	A
USGS	12061500	1944-10-31	1390	A
USGS	12061500	1944-11-01	1670	A
USGS	12061500	1944-11-02	1570	A
USGS	12061500	1944-11-03	1260	A
USGS	12061500	1944-11-04	2070	A
USGS	12061500	1944-11-05	2610	A
USGS	12061500	1944-11-06	2120	A
USGS	12061500	1944-11-07	1880	A
USGS	12061500	1944-11-08	5760	A
USGS	12061500	1944-11-09	4010	A
USGS	12061500	1944-11-10	2830	A
USGS	12061500	1944-11-11	2070	A
USGS	12061500	1944-11-12	1620	A
USGS	12061500	1944-11-13	1340	A
USGS	12061500	1944-11-14	1110	A
USGS	12061500	1944-11-15	1040	A
USGS	12061500	1944-11-16	912	A
USGS	12061500	1944-11-17	835	A
USGS	12061500	1944-11-18	763	A
USGS	12061500	1944-11-19	714	A
USGS	12061500	1944-11-20	672	A
USGS	12061500	1944-11-21	693	A
USGS	12061500	1944-11-22	865	A
USGS	12061500	1944-11-23	1770	A
USGS	12061500	1944-11-24	1870	A
USGS	12061500	1944-11-25	1620	A
USGS	12061500	1944-11-26	2220	A
USGS	12061500	1944-11-27	1920	A
USGS	12061500	1944-11-28	1440	A
USGS	12061500	1944-11-29	1300	A
USGS	12061500	1944-11-30	2280	A
USGS	12061500	1944-12-01	1970	A
USGS	12061500	1944-12-02	1480	A
USGS	12061500	1944-12-03	1300	A
USGS	12061500	1944-12-04	1810	A
USGS	12061500	1944-12-05	2660	A
USGS	12061500	1944-12-06	3010	A
USGS	12061500	1944-12-07	2020	A
USGS	12061500	1944-12-08	1620	A
USGS	12061500	1944-12-09	1340	A
USGS	12061500	1944-12-10	1170	A
USGS	12061500	1944-12-11	1040	A
USGS	12061500	1944-12-12	944	A
USGS	12061500	1944-12-13	858	A
USGS	12061500	1944-12-14	798	A
USGS	12061500	1944-12-15	742	A
USGS	12061500	1944-12-16	693	A
USGS	12061500	1944-12-17	637	A
USGS	12061500	1944-12-18	595	A
USGS	12061500	1944-12-19	568	A
USGS	12061500	1944-12-20	535	A
USGS	12061500	1944-12-21	528	A
USGS	12061500	1944-12-22	503	A
USGS	12061500	1944-12-23	478	A
USGS	12061500	1944-12-24	454	A
USGS	12061500	1944-12-25	431	A
USGS	12061500	1944-12-26	408	A
USGS	12061500	1944-12-27	408	A
USGS	12061500	1944-12-28	503	A
USGS	12061500	1944-12-29	497	A
USGS	12061500	1944-12-30	485	A
USGS	12061500	1944-12-31	491	A
USGS	12061500	1945-01-01	630	A
USGS	12061500	1945-01-02	665	A
USGS	12061500	1945-01-03	630	A
USGS	12061500	1945-01-04	609	A
USGS	12061500	1945-01-05	1780	A
USGS	12061500	1945-01-06	1720	A
USGS	12061500	1945-01-07	4170	A
USGS	12061500	1945-01-08	2780	A
USGS	12061500	1945-01-09	1920	A
USGS	12061500	1945-01-10	1670	A
USGS	12061500	1945-01-11	2070	A
USGS	12061500	1945-01-12	5640	A
USGS	12061500	1945-01-13	4200	A
USGS	12061500	1945-01-14	2950	A
USGS	12061500	1945-01-15	2500	A
USGS	12061500	1945-01-16	2120	A
USGS	12061500	1945-01-17	2340	A
USGS	12061500	1945-01-18	2280	A
USGS	12061500	1945-01-19	1770	A
USGS	12061500	1945-01-20	1480	A
USGS	12061500	1945-01-21	1300	A
USGS	12061500	1945-01-22	1120	A
USGS	12061500	1945-01-23	1020	A
USGS	12061500	1945-01-24	904	A
USGS	12061500	1945-01-25	835	A
USGS	12061500	1945-01-26	770	A
USGS	12061500	1945-01-27	720	A
USGS	12061500	1945-01-28	680	A
USGS	12061500	1945-01-29	650	A
USGS	12061500	1945-01-30	620	A
USGS	12061500	1945-01-31	620	A
USGS	12061500	1945-02-01	756	A
USGS	12061500	1945-02-02	1080	A
USGS	12061500	1945-02-03	1820	A
USGS	12061500	1945-02-04	3320	A
USGS	12061500	1945-02-05	3310	A
USGS	12061500	1945-02-06	2390	A
USGS	12061500	1945-02-07	10300	A
USGS	12061500	1945-02-08	10200	A
USGS	12061500	1945-02-09	5120	A
USGS	12061500	1945-02-10	3070	A
USGS	12061500	1945-02-11	2440	A
USGS	12061500	1945-02-12	2120	A
USGS	12061500	1945-02-13	1870	A
USGS	12061500	1945-02-14	1670	A
USGS	12061500	1945-02-15	1520	A
USGS	12061500	1945-02-16	1390	A
USGS	12061500	1945-02-17	1340	A
USGS	12061500	1945-02-18	1210	A
USGS	12061500	1945-02-19	1150	A
USGS	12061500	1945-02-20	1090	A
USGS	12061500	1945-02-21	1030	A
USGS	12061500	1945-02-22	1030	A
USGS	12061500	1945-02-23	1020	A
USGS	12061500	1945-02-24	984	A
USGS	12061500	1945-02-25	944	A
USGS	12061500	1945-02-26	920	A
USGS	12061500	1945-02-27	896	A
USGS	12061500	1945-02-28	858	A
USGS	12061500	1945-03-01	830	A
USGS	12061500	1945-03-02	800	A
USGS	12061500	1945-03-03	760	A
USGS	12061500	1945-03-04	730	A
USGS	12061500	1945-03-05	700	A
USGS	12061500	1945-03-06	680	A
USGS	12061500	1945-03-07	680	A
USGS	12061500	1945-03-08	750	A
USGS	12061500	1945-03-09	1440	A
USGS	12061500	1945-03-10	2560	A
USGS	12061500	1945-03-11	1770	A
USGS	12061500	1945-03-12	1620	A
USGS	12061500	1945-03-13	1520	A
USGS	12061500	1945-03-14	1770	A
USGS	12061500	1945-03-15	1770	A
USGS	12061500	1945-03-16	1670	A
USGS	12061500	1945-03-17	1520	A
USGS	12061500	1945-03-18	1480	A
USGS	12061500	1945-03-19	3950	A
USGS	12061500	1945-03-20	6510	A
USGS	12061500	1945-03-21	3190	A
USGS	12061500	1945-03-22	2440	A
USGS	12061500	1945-03-23	2070	A
USGS	12061500	1945-03-24	1770	A
USGS	12061500	1945-03-25	1670	A
USGS	12061500	1945-03-26	1670	A
USGS	12061500	1945-03-27	1520	A
USGS	12061500	1945-03-28	1520	A
USGS	12061500	1945-03-29	1440	A
USGS	12061500	1945-03-30	1340	A
USGS	12061500	1945-03-31	1340	A
USGS	12061500	1945-04-01	1260	A
USGS	12061500	1945-04-02	1160	A
USGS	12061500	1945-04-03	1060	A
USGS	12061500	1945-04-04	1070	A
USGS	12061500	1945-04-05	1300	A
USGS	12061500	1945-04-06	1340	A
USGS	12061500	1945-04-07	1300	A
USGS	12061500	1945-04-08	1180	A
USGS	12061500	1945-04-09	1080	A
USGS	12061500	1945-04-10	1010	A
USGS	12061500	1945-04-11	968	A
USGS	12061500	1945-04-12	920	A
USGS	12061500	1945-04-13	872	A
USGS	12061500	1945-04-14	820	A
USGS	12061500	1945-04-15	780	A
USGS	12061500	1945-04-16	820	A
USGS	12061500	1945-04-17	780	A
USGS	12061500	1945-04-18	770	A
USGS	12061500	1945-04-19	830	A
USGS	12061500	1945-04-20	896	A
USGS	12061500	1945-04-21	960	A
USGS	12061500	1945-04-22	912	A
USGS	12061500	1945-04-23	888	A
USGS	12061500	1945-04-24	860	A
USGS	12061500	1945-04-25	820	A
USGS	12061500	1945-04-26	790	A
USGS	12061500	1945-04-27	780	A
USGS	12061500	1945-04-28	760	A
USGS	12061500	1945-04-29	865	A
USGS	12061500	1945-04-30	920	A
USGS	12061500	1945-05-01	960	A
USGS	12061500	1945-05-02	1030	A
USGS	12061500	1945-05-03	1170	A
USGS	12061500	1945-05-04	1100	A
USGS	12061500	1945-05-05	1000	A
USGS	12061500	1945-05-06	952	A
USGS	12061500	1945-05-07	904	A
USGS	12061500	1945-05-08	888	A
USGS	12061500	1945-05-09	872	A
USGS	12061500	1945-05-10	1040	A
USGS	12061500	1945-05-11	2220	A
USGS	12061500	1945-05-12	1820	A
USGS	12061500	1945-05-13	1920	A
USGS	12061500	1945-05-14	2120	A
USGS	12061500	1945-05-15	1770	A
USGS	12061500	1945-05-16	1670	A
USGS	12061500	1945-05-17	1440	A
USGS	12061500	1945-05-18	1260	A
USGS	12061500	1945-05-19	1120	A
USGS	12061500	1945-05-20	1020	A
USGS	12061500	1945-05-21	936	A
USGS	12061500	1945-05-22	880	A
USGS	12061500	1945-05-23	850	A
USGS	12061500	1945-05-24	828	A
USGS	12061500	1945-05-25	780	A
USGS	12061500	1945-05-26	740	A
USGS	12061500	1945-05-27	700	A
USGS	12061500	1945-05-28	670	A
USGS	12061500	1945-05-29	680	A
USGS	12061500	1945-05-30	760	A
USGS	12061500	1945-05-31	760	A
USGS	12061500	1945-06-01	670	A
USGS	12061500	1945-06-02	600	A
